,Color Name,Color Number,R,G,B,Lab L,Lab A,Lab B,Collection Name,Accent 1,Accent 2,Trim 1,Trim 2,Shade 1,Shade 2,Shade 3,Shade 4,Shade 5,Shade 6,Color Description
481,DARK GRANITE,PPG1005-7,79,68,63,29.8014710461,3.7311434219599997,4.74850258327,Gray & Black Paint Colors,PPG1084-4,PPG14-32,PPG1073-1,PPG1001-1,PPG1005-1,PPG1005-2,PPG1005-3,PPG1005-4,PPG1005-5,PPG1005-6,"A great trim color for exterior or interior, pairs well with mid-tone woods and lighter tans.  Use in place of deep toned woods on trim or garage doors. "
481,DARK GRANITE,PPG1005-7,79,68,63,29.8014710461,3.7311434219599997,4.74850258327,Gray & Black Paint Colors,PPG1084-4,PPG14-32,PPG1073-1,PPG1001-1,PPG1005-1,PPG1005-2,PPG1005-3,PPG1005-4,PPG1005-5,PPG1005-6,"A popular exterior color, this rich brown is a perfect exterior selection.  Uses can be for trims or garage door selections."
482,GYPSUM,PPG1006-1,238,237,228,93.60103377809999,-1.2292872887000001,4.46323859683,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1006-2,PPG1006-3,PPG1006-4,PPG1006-5,PPG1006-6,PPG1006-7,Creamy white adds a happy feel to any space.  Use as your main wall or as a trim color to bring warmth to a space. 
482,GYPSUM,PPG1006-1,238,237,228,93.60103377809999,-1.2292872887000001,4.46323859683,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1006-2,PPG1006-3,PPG1006-4,PPG1006-5,PPG1006-6,PPG1006-7,"For a contemporary interior, select this white for all walls.  Pair with gold metal accents and clear glass accessories for this glamourous atmosphere."
482,GYPSUM,PPG1006-1,238,237,228,93.60103377809999,-1.2292872887000001,4.46323859683,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1006-2,PPG1006-3,PPG1006-4,PPG1006-5,PPG1006-6,PPG1006-7,A tint of green this soft shade is perfect for a main wall in any space desired.  Deeper shades of greens create wonderful monochromatic schemes.
483,SHARK,PPG1006-2,223,220,213,87.81367675899999,-0.209527398373,3.7851245543400003,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1006-1,PPG1006-3,PPG1006-4,PPG1006-5,PPG1006-6,PPG1006-7,This pleasant color is light and fresh with a hint of beige in the ground of grey.  Excellent for an overall wall color when paired with Delicate White trim. 
483,SHARK,PPG1006-2,223,220,213,87.81367675899999,-0.209527398373,3.7851245543400003,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1006-1,PPG1006-3,PPG1006-4,PPG1006-5,PPG1006-6,PPG1006-7,This light neutral is an wonderful tone for main walls interior or exterior.  Pair with off-white trim and add deeper shades of charcoal for contrast.
484,EARLY EVENING,PPG1006-3,202,199,191,80.2723945473,-0.38452485888899995,4.3591238314,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1006-1,PPG1006-2,PPG1006-4,PPG1006-5,PPG1006-6,PPG1006-7,Use this soft restful color on an interior or exterior.  Works well with honeyed woods and blue accents.  
484,EARLY EVENING,PPG1006-3,202,199,191,80.2723945473,-0.38452485888899995,4.3591238314,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1006-1,PPG1006-2,PPG1006-4,PPG1006-5,PPG1006-6,PPG1006-7,A handsome greige neutral is an excellent wall color for an open floor plan.  It is very compatible with tones of slate blues.
484,EARLY EVENING,PPG1006-3,202,199,191,80.2723945473,-0.38452485888899995,4.3591238314,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1006-1,PPG1006-2,PPG1006-4,PPG1006-5,PPG1006-6,PPG1006-7,A very popular geige that can be utizlized on all four main wall areas.  Accent with deeper charcoals and contrast with natural wood.
484,EARLY EVENING,PPG1006-3,202,199,191,80.2723945473,-0.38452485888899995,4.3591238314,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1006-1,PPG1006-2,PPG1006-4,PPG1006-5,PPG1006-6,PPG1006-7,A lush tan that would create a wonderful bedroom color.  Pair with darker brown and pink pillows as lovely accents.
485,MERCURIAL,PPG1006-4,182,176,169,72.1351898158,0.875283850467,4.3310532559,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1006-1,PPG1006-2,PPG1006-3,PPG1006-5,PPG1006-6,PPG1006-7,This beautiful greige is an excellent wall color for all main walls or accent walls.  Pair with neutral blue tones to bring out the best in both colors.  
486,SO SUBLIME,PPG1006-5,139,132,124,55.5297289879,1.15151422393,5.24995162943,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1006-1,PPG1006-2,PPG1006-3,PPG1006-4,PPG1006-6,PPG1006-7,"Rich greige works perfectly as an exterior color or accent walls or for cabinetry in a kitchen, island or bathrooms.  Works well with white and honeyed woods"
486,SO SUBLIME,PPG1006-5,139,132,124,55.5297289879,1.15151422393,5.24995162943,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1006-1,PPG1006-2,PPG1006-3,PPG1006-4,PPG1006-6,PPG1006-7,This greyed brown is an appropriate choice for an exterior body color.  A lighter neutral works perfect for this application.
487,DECONSTRUCTION,PPG1006-6,123,115,107,48.9261188377,1.5966089616799999,5.5283621842,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1006-1,PPG1006-2,PPG1006-3,PPG1006-4,PPG1006-5,PPG1006-7,"Stunning as an exterior, this color works well with exterior stonework and black or lighter trim.  "
487,DECONSTRUCTION,PPG1006-6,123,115,107,48.9261188377,1.5966089616799999,5.5283621842,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1006-1,PPG1006-2,PPG1006-3,PPG1006-4,PPG1006-5,PPG1006-7,This deep rich brown coordinates beautifully with muted sage greens.  Bring the outside indoors for this comforting appeal.
488,METROPOLIS,PPG1006-7,97,88,79,37.9954357596,1.96305374432,6.54091065984,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1006-1,PPG1006-2,PPG1006-3,PPG1006-4,PPG1006-5,PPG1006-6,"Deep greige, this color offers warm support as trim for other lighter greiges or works well as an accent wall to create a quietly stunning space.  "
488,METROPOLIS,PPG1006-7,97,88,79,37.9954357596,1.96305374432,6.54091065984,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1006-1,PPG1006-2,PPG1006-3,PPG1006-4,PPG1006-5,PPG1006-6,This complex brown is a brilliant selection for an accent wall.  Pair with rusts and lighter neutrals as companions on surrounding walls.
489,FOCUS,PPG1008-1,229,224,210,89.21600944469999,-0.698297761009,7.44424033153,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1008-2,PPG1008-3,PPG1008-4,PPG1008-5,PPG1008-6,PPG1008-7,Warm and creamy off-white works well with greige or tan for an overall room or trim color.  Pairs well with grays or deep blues.
490,STORM'S COMING,PPG1008-2,207,201,188,81.1097790064,-0.174202552863,7.22378285479,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1008-1,PPG1008-3,PPG1008-4,PPG1008-5,PPG1008-6,PPG1008-7,"Warm gray/beige, a perfect overall color that will bring a sunny feeling to the most modern of spaces.  Pairs well with honeyed woods, pinks and blues alike.  "
491,GREYHOUND,PPG1008-3,178,172,162,70.5796159845,0.357277710193,5.894717308740001,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1008-1,PPG1008-2,PPG1008-4,PPG1008-5,PPG1008-6,PPG1008-7,A popular neutral is very elegant on all main walls for any space. Pair this color in a kitchen with deep teal accents.
491,GREYHOUND,PPG1008-3,178,172,162,70.5796159845,0.357277710193,5.894717308740001,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1008-1,PPG1008-2,PPG1008-4,PPG1008-5,PPG1008-6,PPG1008-7,This greyed neutral will complete a kitchen.  Accent with white trim and lovely marble countertops.
492,GRAY BY ME,PPG1008-4,161,152,139,63.2584305516,1.00227600474,8.016829296689998,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1008-1,PPG1008-2,PPG1008-3,PPG1008-5,PPG1008-6,PPG1008-7,"A deep, warm greige can be used as a sophisticated accent wall. It coordinates with deep blues and touches of gold. "
492,GRAY BY ME,PPG1008-4,161,152,139,63.2584305516,1.00227600474,8.016829296689998,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1008-1,PPG1008-2,PPG1008-3,PPG1008-5,PPG1008-6,PPG1008-7,A beautiful soft wood grey is inspired by a New England theme.  Pair with lighter sandy tones for an elegant appearance.
493,ROLLER COASTER,PPG1008-5,140,133,120,55.7930184939,0.273436297926,7.94582736865,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1008-1,PPG1008-2,PPG1008-3,PPG1008-4,PPG1008-6,PPG1008-7,This sumptuous golden tan brings a chic flavor as an accent wall into a living room or as a home-theater room.   It is appropriately coordinated with dusky plums and teals.
494,ARTILLERY,PPG1008-6,116,111,103,47.0547712066,0.408405515955,5.1386814448800004,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1008-1,PPG1008-2,PPG1008-3,PPG1008-4,PPG1008-5,PPG1008-7,"Deep greige with a touch of green, this color is perfect for an exterior or a low-light accent wall.  Also, good to use as a kitchen or bath cabinetry color. "
494,ARTILLERY,PPG1008-6,116,111,103,47.0547712066,0.408405515955,5.1386814448800004,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1008-1,PPG1008-2,PPG1008-3,PPG1008-4,PPG1008-5,PPG1008-7,This serious deep brown is appropriate for an accent wall.  Lighter grey selections are perfect to balance this deep color.
495,STONE'S THROW,PPG1008-7,96,92,88,39.3194232921,0.7963371418140001,2.86420706391,Gray & Black Paint Colors,PPG11-23,PPG1001-7,PPG14-20,PPG1001-1,PPG1008-1,PPG1008-2,PPG1008-3,PPG1008-4,PPG1008-5,PPG1008-6,A popular deep brown/gray neutral for an exterior or as a trim color.  Works well as a neutral deep greige as a main color or as an accent for your project. It pairs well with any color and substrate.
496,TUNDRA FROST,PPG1009-1,225,225,219,89.38010491290001,-1.06207509066,2.9215877217000004,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1009-2,PPG1009-3,PPG1009-4,PPG1009-5,PPG1009-6,PPG1009-7,"Cool grey with a hint of green, this is a great color for a room with little natural light.  Also use as a ceiling or trim color when paired with true grays. "
496,TUNDRA FROST,PPG1009-1,225,225,219,89.38010491290001,-1.06207509066,2.9215877217000004,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1009-2,PPG1009-3,PPG1009-4,PPG1009-5,PPG1009-6,PPG1009-7,This bone colored neutral is perfect for an open floor plan.  It's very compatible with any color of your choice.
497,TORNADO,PPG1009-2,209,211,207,84.30242046069999,-1.4060309969999998,1.72931413866,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1009-1,PPG1009-3,PPG1009-4,PPG1009-5,PPG1009-6,PPG1009-7,"Cool grey brings a feeling of clarity to an office or kitchen space. Pair with soft-white, this color will make other colors pop. "
497,TORNADO,PPG1009-2,209,211,207,84.30242046069999,-1.4060309969999998,1.72931413866,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1009-1,PPG1009-3,PPG1009-4,PPG1009-5,PPG1009-6,PPG1009-7,This bone colored neutral is perfect for an open floor plan.  It's very compatible with any color of your choice.
498,SOLITARY STATE,PPG1009-3,196,199,196,79.9360149463,-1.5850287460899999,1.12914603716,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1009-1,PPG1009-2,PPG1009-4,PPG1009-5,PPG1009-6,PPG1009-7,This cool edgy gray will be beautiful as an overall color or an update to cabinetry.  Pair with white or brights for a stunning room. 
498,SOLITARY STATE,PPG1009-3,196,199,196,79.9360149463,-1.5850287460899999,1.12914603716,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1009-1,PPG1009-2,PPG1009-4,PPG1009-5,PPG1009-6,PPG1009-7,A soft grey green infuses comfort and relaxation.  This is an excellent choice for a living room area.
499,GRAY STONE,PPG1009-4,183,185,181,74.8888074371,-1.44071220903,1.7735849822999998,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1009-1,PPG1009-2,PPG1009-3,PPG1009-5,PPG1009-6,PPG1009-7,"A real gray, this neutral is a great backdrop for showcasing artwork or collections.  Use as an overall room color or an accent wall, or even just one side of a hallway.  "
500,PHOENIX FOSSIL,PPG1009-5,142,144,141,59.544184700100004,-1.31553948888,1.3288126222399999,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1009-1,PPG1009-2,PPG1009-3,PPG1009-4,PPG1009-6,PPG1009-7,"For interior, this color is rich and deep and pairs well with pink or yellow accents.  A popular exterior color which pairs well with navy or black trim.  "
501,ARMORY,PPG1009-6,106,107,101,44.968434385900004,-1.59615677649,3.22072498537,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1009-1,PPG1009-2,PPG1009-3,PPG1009-4,PPG1009-5,PPG1009-7,"A great grey, use as an accent or trim for an updated appeal.  Excellent for exterior color when paired with lighter grays or black. "
502,LICORICE,PPG1009-7,78,79,72,33.3063948514,-1.8783702953499999,3.99124543324,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1009-1,PPG1009-2,PPG1009-3,PPG1009-4,PPG1009-5,PPG1009-6,"Nuanced black is a great color for exterior or interior accent or trim.  Use as an overall color for an updated, trending exterior.  "
502,LICORICE,PPG1009-7,78,79,72,33.3063948514,-1.8783702953499999,3.99124543324,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1009-1,PPG1009-2,PPG1009-3,PPG1009-4,PPG1009-5,PPG1009-6,"A dramatic forestry green is an excellent accent wall.  Paired with earth toned golds, creates a lovely environment."
502,LICORICE,PPG1009-7,78,79,72,33.3063948514,-1.8783702953499999,3.99124543324,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1009-1,PPG1009-2,PPG1009-3,PPG1009-4,PPG1009-5,PPG1009-6,This choice rich brown can be applied on the trim of an exterior.  Coordinate the exterior body in tones of lighter tans.
503,PEGASUS,PPG1010-1,232,233,228,92.1472846864,-1.2191490951000001,2.2988628768400003,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1010-2,PPG1010-3,PPG1010-4,PPG1010-5,PPG1010-6,PPG1010-7,This white is a wonderful trim for cool gray tone.  It's also an excellent for a main interior wall color.
503,PEGASUS,PPG1010-1,232,233,228,92.1472846864,-1.2191490951000001,2.2988628768400003,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1010-2,PPG1010-3,PPG1010-4,PPG1010-5,PPG1010-6,PPG1010-7,This tinted effervescence white can be used for a main wall or a trim color.  Pair with deeper tones of green to complete the look.
504,FOG,PPG1010-2,214,215,210,85.7810092106,-1.23723167998,2.3347314151900003,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1010-1,PPG1010-3,PPG1010-4,PPG1010-5,PPG1010-6,PPG1010-7,This cool grey has a light touch of green and is an excellent selection for an overall room color.  Works well in kitchens and bedrooms alike.  Makes a wonderful ceiling color to expand the space. 
505,SOLSTICE,PPG1010-3,186,189,184,76.249920137,-1.9683043718200002,2.1502383223900003,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1010-1,PPG1010-2,PPG1010-4,PPG1010-5,PPG1010-6,PPG1010-7,Graceful cool grey is perfect for a dining room and works equally well with deep plums or blues.  Use with gold or pewter accents for a beautiful result.    
505,SOLSTICE,PPG1010-3,186,189,184,76.249920137,-1.9683043718200002,2.1502383223900003,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1010-1,PPG1010-2,PPG1010-4,PPG1010-5,PPG1010-6,PPG1010-7,This pale jade is a select main wall color for many rooms.  It's very relaxing and casual and this grey can pair with whites.
506,STEPPING STONE,PPG1010-4,164,167,164,68.17525482079999,-1.63749897481,1.1683102658700002,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1010-1,PPG1010-2,PPG1010-3,PPG1010-5,PPG1010-6,PPG1010-7,This mid-toned grey is an excellent trim for surrounding lighter grey walls. Darker woods can be elegantly designed for this area as well.
507,DOWNPOUR,PPG1010-5,137,138,134,57.2858014591,-1.1476279681700001,2.00315089908,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1010-1,PPG1010-2,PPG1010-3,PPG1010-4,PPG1010-6,PPG1010-7,"A great grey, this makes a stunning accent wall or trim and architectural feature color.  Also consider this for cabinetry color to update a kitchen or bath. "
508,UP IN SMOKE,PPG1010-6,110,112,109,46.9842440841,-1.37622808214,1.39239524676,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1010-1,PPG1010-2,PPG1010-3,PPG1010-4,PPG1010-5,PPG1010-7,This choice rich granite grey can be applied on the trim of an exterior. Coordinate the exterior body in tones of lighter grays. 
509,ZOMBIE,PPG1010-7,89,90,92,38.2146988288,0.033559396986700005,-1.2938715091500002,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1010-1,PPG1010-2,PPG1010-3,PPG1010-4,PPG1010-5,PPG1010-6,"Deepest true gray, use this on exterior trim or front door for a stunning look.  Pair with warm greige exterior body in lighter tones.  "
509,ZOMBIE,PPG1010-7,89,90,92,38.2146988288,0.033559396986700005,-1.2938715091500002,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1010-1,PPG1010-2,PPG1010-3,PPG1010-4,PPG1010-5,PPG1010-6,"A dark charcoal, creates drama for your interior space. It coordinates with yellows, greens, and plums."
510,PACIFIC PEARL,PPG1011-1,232,234,230,92.4487200647,-1.37912121687,1.6949638532100002,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1011-2,PPG1011-3,PPG1011-4,PPG1011-5,PPG1011-6,PPG1011-7,"This off-white is a true foggy grey, perfect for rooms with lots of sunlight.  Use as an overall color or ceiling and trim, a good companion for any color scheme. "
511,ELEMENTAL,PPG1011-2,208,211,211,84.3296491082,-1.0206888406499999,-0.36533124813100004,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1011-1,PPG1011-3,PPG1011-4,PPG1011-5,PPG1011-6,PPG1011-7,"Ethereal grey, this color adds a sense of expansion and endless horizon.  Use as an overall color or trim color with deeper toned grays.  "
511,ELEMENTAL,PPG1011-2,208,211,211,84.3296491082,-1.0206888406499999,-0.36533124813100004,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1011-1,PPG1011-3,PPG1011-4,PPG1011-5,PPG1011-6,PPG1011-7,This soft grey is an amazing wall color for any interior.  Use darker shades of grey for surrounding walls for contrast.
511,ELEMENTAL,PPG1011-2,208,211,211,84.3296491082,-1.0206888406499999,-0.36533124813100004,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1011-1,PPG1011-3,PPG1011-4,PPG1011-5,PPG1011-6,PPG1011-7,This lighter cool grey creates a transitional style to your interior.  Coordinates well with the deeper charcoals or pops of color.
511,ELEMENTAL,PPG1011-2,208,211,211,84.3296491082,-1.0206888406499999,-0.36533124813100004,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1011-1,PPG1011-3,PPG1011-4,PPG1011-5,PPG1011-6,PPG1011-7,This beautiful taupe grey hue can be used as a main wall color for any space. Pair with mahogany wood tones for contrast.
512,STARGAZER,PPG1011-3,175,180,182,72.9798334665,-1.36343533674,-1.6331242906,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1011-1,PPG1011-2,PPG1011-4,PPG1011-5,PPG1011-6,PPG1011-7,"True grey, this lighter mid-tone is perfect for an exterior color and supports nearly every trim color from white to black.  "
512,STARGAZER,PPG1011-3,175,180,182,72.9798334665,-1.36343533674,-1.6331242906,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1011-1,PPG1011-2,PPG1011-4,PPG1011-5,PPG1011-6,PPG1011-7,This is the most beautiful grey for a kitchen.  Pair white cabinetry with quartz or marble countertops.
513,UFO,PPG1011-4,152,159,163,65.054378118,-1.69418452408,-2.95125396613,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1011-1,PPG1011-2,PPG1011-3,PPG1011-5,PPG1011-6,PPG1011-7,"Steely gray, a perfect color for exterior or interior when paired with deep toned woods, black or white trim.  "
513,UFO,PPG1011-4,152,159,163,65.054378118,-1.69418452408,-2.95125396613,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1011-1,PPG1011-2,PPG1011-3,PPG1011-5,PPG1011-6,PPG1011-7,This midtoned grey is perfect for an exterior body of a home.  Accent the front door with a deep burgundy red.
514,IMPROBABLE,PPG1011-5,110,115,118,48.114000502799996,-1.25451737085,-2.31492913072,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1011-1,PPG1011-2,PPG1011-3,PPG1011-4,PPG1011-6,PPG1011-7,"Deep true gray, this color works well to support other colors whether used as an overall exterior or interior color or even a deep trim to compliment lighter greys on walls and ceiling. "
514,IMPROBABLE,PPG1011-5,110,115,118,48.114000502799996,-1.25451737085,-2.31492913072,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1011-1,PPG1011-2,PPG1011-3,PPG1011-4,PPG1011-6,PPG1011-7,This elegant rich charcoal is perfect backdrop behind a stone fireplace.  Surrounding walls can be a lighter grey to complete this sophisticated look.
514,IMPROBABLE,PPG1011-5,110,115,118,48.114000502799996,-1.25451737085,-2.31492913072,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1011-1,PPG1011-2,PPG1011-3,PPG1011-4,PPG1011-6,PPG1011-7,This dramatic charcoal creates a sense of calmness in any room.  It can be paired with whites and neutrals or light woods.
515,GLAZED GRANITE,PPG1011-6,91,94,97,39.7359378528,-0.523773559521,-2.12716523843,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1011-1,PPG1011-2,PPG1011-3,PPG1011-4,PPG1011-5,PPG1011-7,"True dep grey, this color works well as an exterior trim color when paired with grays or tans.  Perfect for a front door and trim on a greige exterior body. "
515,GLAZED GRANITE,PPG1011-6,91,94,97,39.7359378528,-0.523773559521,-2.12716523843,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1011-1,PPG1011-2,PPG1011-3,PPG1011-4,PPG1011-5,PPG1011-7,This sophisticated grey is perfect for an accent with marble countertops.  Light muted yellows are a great choice for surrounding walls.
516,ONYX,PPG1011-7,70,69,68,29.3510745134,0.199273273656,0.746998247485,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1011-1,PPG1011-2,PPG1011-3,PPG1011-4,PPG1011-5,PPG1011-6,"Our deepest and darkest black makes a statement in any room. Pair with white for a clean, classic look or with any other color to make it standout."
516,ONYX,PPG1011-7,70,69,68,29.3510745134,0.199273273656,0.746998247485,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1011-1,PPG1011-2,PPG1011-3,PPG1011-4,PPG1011-5,PPG1011-6,"A classic, deep rich black which works equally well as a main color or as an accent for your project. It pairs well with any color and substrate. "
517,ICY BAY,PPG1012-1,224,229,226,90.49471148149999,-2.2151203688999996,0.865797153723,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1012-2,PPG1012-3,PPG1012-4,PPG1012-5,PPG1012-6,PPG1012-7,This is a favored off white to coordinate mostly with blue-based greens. It can be used for a main wall if you just want a hint of green.
518,INVERNESS GRAY,PPG1012-2,220,227,226,89.6940201924,-2.52467544403,-0.337915959829,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1012-1,PPG1012-3,PPG1012-4,PPG1012-5,PPG1012-6,PPG1012-7,"Ethereal in essence, this cool gray calms any interior room. Complement this grey with warmer wood tones for a beautiful contrast."
519,TINSEL,PPG1012-3,210,217,219,86.2267334474,-1.98835529741,-1.81223541594,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1012-1,PPG1012-2,PPG1012-4,PPG1012-5,PPG1012-6,PPG1012-7,"Country grey, this contemporary farm color works well in kitchens as walls or cabinets and in any other room for a cool, calming country feel.  Pair with warm white trim. "
520,GRAY FROST,PPG1012-4,184,191,194,76.8885537056,-1.8401793990900002,-2.35540470334,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1012-1,PPG1012-2,PPG1012-3,PPG1012-5,PPG1012-6,PPG1012-7,Apply this lovely greyed green into a cozy bedroom. Trim in off-whites or tinted light greens.
521,STEEPLE GRAY,PPG1012-5,142,149,152,61.2312733753,-1.91599514099,-2.459912804,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1012-1,PPG1012-2,PPG1012-3,PPG1012-4,PPG1012-6,PPG1012-7,Use this color on an exterior with deep grey or black trim.  Works equally well on exterior furniture or features. 
522,VOLCANIC ASH,PPG1012-6,111,118,120,49.120752729799996,-2.2012636505,-2.01157608297,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1012-1,PPG1012-2,PPG1012-3,PPG1012-4,PPG1012-5,PPG1012-7,Mid-tone gray with a hint of green works well for an exterior trim or exterior body color.  Pair with trim deep nuanced black or blackberry trim for a stunning effect.  
523,BLACK FOREST,PPG1012-7,67,75,79,31.3236650854,-2.25591533484,-3.47507325589,Gray & Black Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1012-1,PPG1012-2,PPG1012-3,PPG1012-4,PPG1012-5,PPG1012-6,"Deep green grey is perfect for exterior trim or features, perfect for a front door color. Pair with rich red or vibrant orange for a delightful natural exterior. "
524,RADISSON,PPG1013-1,229,231,230,91.47036747610001,-0.849037461899,0.242114909191,Gray & Black Paint Colors,PPG14-29,PPG14-19,PPG1023-1,PPG1001-1,PPG1013-2,PPG1013-3,PPG1013-4,PPG1013-5,PPG1013-6,PPG1013-7,Creamy off-white is well-paired with blues or purples as an overall wall color.  Also use as a trim and ceiling color for deeper grey toned walls.  
